Anmeldedatum;Abgabedatum;JahrAkademisch;Art;Grad;Sprache;Titel;Abstract
31.07.94;30.09.94;1994;intern;Diplom;DE;EMail am Beispiel SMTP im Internet;
01.10.94;01.03.95;1995;intern;Diplom;DE;Einführung des Configuration Management-Systems PCMS zur strukturierten Versions-Release- und Änderungskontrolle in Projekten der Abteilung Information-Systems der Firma Motorola;
05.10.94;05.03.95;1995;extern;Diplom;DE;Analyse und Leistungsvergleich von zwei Echtzeitsystemen für eingebettete Anwendungen;
19.10.94;19.03.95;1995;intern;Diplom;DE;Erfassung und automatische Zuordnung von Auftragsdaten für ein Dienstleistungsunternehmen mit Hilfe von Standardsoftware - Konzeption und Realisierung;
25.10.94;24.03.95;1995;extern;Diplom;DE;Organisationskonzept zur Administration von Lehrgangsrechnern für eine DV-Fortbildungsinstitution;
27.10.94;14.07.95;1995;intern;Diplom;DE;Monte Carlo-Simulation für ein gekoppeltes Round-Robin-System;
02.11.94;02.04.95;1995;intern;Diplom;DE;Untersuchung der elektrischen Eigenschaften von Supraleitern mit Hilfe eines Gas-Kryosystems;
02.11.94;02.04.95;1995;intern;Diplom;DE;Prioritätsfreies Scheduling in verteilten Echtzeit-Systemen unter Berücksichtigung von Zeit- und Betriebsmittelanforderungen;
04.11.94;14.03.95;1995;intern;Diplom;DE;Implementierung eines Testüberdeckungsgrad-Analysators für RAS;
08.11.94;08.04.95;1995;intern;Diplom;DE;Eine objektorientierte Fuzzy-Entwicklungsumgebung - Entwurf und Implementierung des Kerns;
22.11.94;22.04.95;1995;intern;Diplom;DE;Eine objektorientierte Fuzzy-Entwicklungsumgebung - Entwurf und Implementierung der Bedienoberfläche;
28.11.94;14.03.95;1995;extern;Diplom;DE;Strukturierung und Dokumentenmanagement von Gebrauchsanweisungen auf der Basis von SGML;
01.12.94;01.05.95;1995;intern;Diplom;DE;Untersuchung von 4 Netzwerksystemen im Hinblick auf ihre Einsatzmöglichkeiten insbesondere im Weitverkehrsnetz einer EDV-Dienstleistungsfirma;
01.12.94;28.04.95;1995;intern;Diplom;DE;Erstellung eines Konzeptes zur Umstellung eines bestehenden Netzwerkmanagementsystems von CMIP/CMOL auf SNMP;
12.12.94;12.05.95;1995;intern;Diplom;DE;Migration der Bearbeitung des Schriftverkehrs der Kreissparkasse Nürnberg von einem großrechnerorientierten System auf eine Client-Server-Architektur (Arbeitstitel);
13.12.94;13.08.95;1995;intern;Diplom;DE;Lösung von Zuordnungsproblemen unter Berücksichtigung verschiedenartiger Randbedingungen beim Verkabeln einer Vermittlungsanlage;
15.12.94;15.05.95;1995;extern;Diplom;DE;"Konzeption und Realisierung eines multimedialen Sammlerkataloges am Beispiel ""altes Spielzeug""";
20.12.94;20.05.95;1995;intern;Diplom;DE;Analyse und Konzeption der zukünftigen Informatikunterstützung für ein Ing.-Büro;
02.01.95;02.06.95;1995;extern;Diplom;DE;Konzeption eines Netzwerkmanagementsystems für eine heterogene Netzwerkumgebung;
03.01.95;05.06.95;1995;extern;Diplom;DE;Aufbau, Inbetriebnahme und Optimierung eines hoch repetierlichen Ho: YAG-Laser für med. Anwendung;
04.01.95;03.06.95;1995;extern;Diplom;DE;Untersuchung verschiedener Lernverfahren für Neuro-Fuzzy-Systeme;
10.01.95;10.06.95;1995;intern;Diplom;DE;Untersuchung der Echtzeit-Eignung eines Betriebssystems am Beispiel von Varianten des UNIX-Kerns;
08.02.95;08.07.95;1995;intern;Diplom;DE;Schnelle Berechnung von Ray-Tracing-Animationen durch Voxelisierung des Szenenraums;
17.02.95;17.07.95;1995;intern;Diplom;DE;Computergestützte und kundenorientierte Erfassung und Verarbeitung von Gesteinsprobensiebwerten zur Bestimmung eines optimalen Mischungsverhältnisses;
03.03.95;03.08.95;1995;intern;Diplom;DE;Rechnergestützte Einzelworterkennung. Ein Vergleich von Methoden zur Analyse und Klassifikation;
08.03.95;08.08.95;1995;intern;Diplom;DE;Komprimierung, Übertragung, Auswertung und Aufbereitung von Meßdaten aus einer Solaranlage;
30.03.95;30.12.95;1995;intern;Diplom;DE;Redesign und aTRACktive-Datenbank und Portierung des Auswertungssystems auf einem PC;
12.04.95;11.09.95;1995;intern;Diplom;DE;Computergestützte Wertstoffsammlung;
